0
B9 D9
D1 H1
D8 H8
E12 G12
G2 G6
H12 H12
I2 I2
I6 M6
A1 A3
B5 B9
C7 C9
B3 F3
H3 H7
I9 M9
M7 M7
M10 M10
C9 H10
M7 D2
H12 I4
H5 D1
F12 E7
D3 F1
I2 N12
C8 M2
F1 H5
A2 I6
I4 I12
D3 E1
F1 H4
D3 D3
E7 M7
H5 H5
F8 H6
M2 L11
I12 B8
H5 H5
L6 B6
D3 D3
N12 L5
D2 A6
F8 B7
A6 B12
F1 B6
I6 E6
F1 I5
M10 B10
F8 I6
L9 F12
B8 B12
L11 N2
H10 E9
E6 I8
L5 F6
B12 F7
B12 C10
F12 D10
F1 I7
B7 F9
M7 L3
I8 H11
F6 B4
N2 I3
F8 H5
I3 L10
F1 H3
H11 N11
G4 D3
H5 A6
C10 L9
N11 G8
G4 E12
F7 M6
F1 L10
G8 D8
E9 G7
M6 G12
L3 C10
D3 G8
B6 B3
B10 C7
F8 B5
C7 A11
L9 D4
A11 A6
F1 B10
D3 E8
B4 L6
B7 B10
F1 C3
A6 N7
L6 M1
D10 H1
D4 I11
D8 C5
M1 H2
L10 M6
C10 F11
M6 I10
F11 E2
H1 D8
I11 A2
H5 G6
F8 H1
H5 L6
G7 H9
C5 N10
G4 B9
B7 H8
A2 N6
H5 G5
H9 F7
I10 F6
E2 B11
B7 D8
F8 I1
D8 E11
