1
C1 G1
H5 H9
A3 E3
B5 D5
D2 F2
I3 I5
B9 B9
L9 L9
G5 G9
B3 B7
D1 H1
C8 E8
D3 F3
E9 E11
F7 F7
M5 M5
I4 I11
M5 I9
C3 M9
E3 H11
L9 F8
D8 E8
I11 A5
F1 I11
A5 A10
E10 C2
C3 G6
G7 H8
A10 G10
E8 D12
C3 E10
H11 D8
E2 I10
B5 H9
C3 F7
D8 L10
G10 E9
I9 M11
F8 L6
G7 H7
B9 A11
G7 L10
C5 B7
G7 I10
I10 F7
B5 G2
E9 I10
M11 I4
A11 B1
C2 A11
E1 G8
A11 N3
L6 N10
F1 L6
B1 M1
B5 H5
N10 H11
B5 H6
H11 A4
F1 F10
B7 D5
I4 H8
D5 M8
B5 H7
C3 B6
L10 D6
M8 G12
H8 I5
M1 A9
F1 H9
A9 E11
D12 D11
F7 C4
G7 H8
E1 D8
G7 I10
A4 D8
D6 D4
C3 M10
D4 L10
C4 C7
F1 I9
I10 B10
N3 I7
C3 I10
L10 I4
G12 H12
I7 H8
E1 C1
D11 E7
E11 M10
G7 B9
D8 E10
I5 I10
E10 L7
E7 E11
M10 B6
I4 B11
B10 E9
B11 L5
E1 H7
H8 I8
H12 C8
I8 G3
B6 A9
L5 M10
E1 B4
M10 I5
C7 M2
G7 I12
C8 G7
I10 B2
L7 A10
G3 N6
C3 G7
B2 E3
